wavenumber,transmittance
4000.0,-0.008497922830975297
3996.0,-0.010717159995765953
3992.0,-0.013128676773684046
3988.01,-0.016023862438234292
3984.01,-0.017403269618645408
3980.01,-0.01578495319564765
3976.01,-0.012787462346296748
3972.02,-0.010472010957359734
3968.02,-0.008432940848729349
3964.02,-0.005797732723317047
3960.02,-0.004065407428450569
3956.03,-0.005260445515595255
3952.03,-0.008559043195540697
3948.03,-0.011162901199290413
3944.03,-0.012148776225902309
3940.04,-0.012459358384668493
3936.04,-0.012389727126940564
3932.04,-0.011996539498497839
3928.04,-0.01232603001991862
3924.05,-0.01348658062017765
3920.05,-0.01322825578757832
3916.05,-0.010959119644635073
3912.05,-0.01079465920917792
3908.05,-0.01648862091805067
3904.06,-0.025127961100539845
3900.06,-0.028821714414635487
3896.06,-0.02638421553844049
3892.06,-0.024793575282082873
3888.07,-0.027574623795718133
3884.07,-0.03110604655840212
3880.07,-0.03189830035542611
3876.07,-0.03167032571712104
3872.08,-0.03217690388906322
3868.08,-0.03132445371932221
3864.08,-0.027672802073095606
3860.08,-0.02380744051452368
3856.09,-0.0224126373811661
3852.09,-0.023204744722583333
3848.09,-0.025062493249178856
3844.09,-0.027975868796995092
3840.1,-0.03063135104428941
3836.1,-0.030050049232876193
3832.1,-0.02732235499823037
3828.1,-0.0275660520771084
3824.11,-0.031017992881197616
3820.11,-0.03126616937067103
3816.11,-0.024707843084409424
3812.11,-0.018128854465085602
3808.11,-0.017625965737478006
3804.12,-0.019836993144413975
3800.12,-0.01723663913972189
3796.12,-0.010359159075449643
3792.12,-0.006428338891835854
3788.13,-0.007677984972658826
3784.13,-0.010582724107466922
3780.13,-0.011728937524315875
3776.13,-0.011694813734996406
3772.14,-0.012437834743755007
3768.14,-0.014194951096878664
3764.14,-0.016794272518523164
3760.14,-0.021392785391214357
3756.15,-0.029065068209326122
3752.15,-0.03872842651013129
3748.15,-0.0470318393997755
3744.15,-0.051225462917710664
3740.16,-0.05098576086627961
3736.16,-0.04672666159571878
3732.16,-0.039976183379466054
3728.16,-0.033815657130765855
3724.16,-0.0305691668071214
3720.17,-0.030567694992889832
3716.17,-0.03246617035288496
3712.17,-0.032894233318752825
3708.17,-0.028240057969299823
3704.18,-0.02024681645067566
3700.18,-0.015705808851906696
3696.18,-0.01854604277530346
3692.18,-0.024680720046220954
3688.19,-0.025717663209632455
3684.19,-0.020677037715308676
3680.19,-0.016864509817804605
3676.19,-0.017593737331377434
3672.2,-0.016897354910254514
3668.2,-0.01073583255679249
3664.2,-0.006779729674867178
3660.2,-0.013644500813778378
3656.21,-0.031831471881882255
3652.21,-0.05050654696951805
3648.21,-0.05390903196470513
3644.21,-0.043680856683346536
3640.21,-0.03414525631680365
3636.22,-0.03140511870658856
3632.22,-0.032402155605962615
3628.22,-0.0317836542773568
3624.22,-0.02847669190513361
3620.23,-0.025391461319075468
3616.23,-0.023401241180827807
3612.23,-0.02025135983524088
3608.23,-0.015200198624949892
3604.24,-0.011652605993821135
3600.24,-0.013251458438077457
3596.24,-0.019920252041730143
3592.24,-0.027513142468285175
3588.25,-0.03041537240770218
3584.25,-0.02692403745078311
3580.25,-0.021122388923143956
3576.25,-0.01807557523374766
3572.26,-0.01939176967334451
3568.26,-0.02249739752017748
3564.26,-0.023391387800480744
3560.26,-0.021586892915654278
3556.26,-0.01985322622510075
3552.27,-0.019356206684691932
3548.27,-0.01844775305919591
3544.27,-0.015955874736657837
3540.27,-0.013700858286818596
3536.28,-0.013866069065309935
3532.28,-0.015646451484196064
3528.28,-0.016013282771496527
3524.28,-0.01302814601427889
3520.29,-0.008173996330535444
3516.29,-0.00509619314863412
3512.29,-0.006140241221012433
3508.29,-0.00995559554793496
3504.3,-0.012049749551481437
3500.3,-0.009159603186735725
3496.3,-0.0035091225832507913
3492.3,-0.000629728769088015
3488.31,-0.0030499659789292657
3484.31,-0.007870312522449912
3480.31,-0.01047994068166104
3476.31,-0.009576142904970676
3472.32,-0.00750337739351788
3468.32,-0.0067901388100138
3464.32,-0.008226268994705112
3460.32,-0.01118212603203186
3456.32,-0.014308259920432727
3452.33,-0.01629768718049069
3448.33,-0.01660528091766498
3444.33,-0.015418033914824422
3440.33,-0.012595994826888994
3436.34,-0.008093842554496588
3432.34,-0.0034550665375983882
3428.34,-0.0012102075139416631
3424.34,-0.0021266503401513957
3420.35,-0.004203137319128022
3416.35,-0.005064890706748875
3412.35,-0.0042501968424678745
3408.35,-0.0026512295931192323
3404.36,-0.001209691264036387
3400.36,-0.0009598864297556357
3396.36,-0.002907862432118732
3392.36,-0.006411899567721764
3388.37,-0.008853063190755395
3384.37,-0.00841895196098405
3380.37,-0.006246853770548068
3376.37,-0.004575000239321898
3372.37,-0.004205653906902024
3368.38,-0.004860037845957203
3364.38,-0.006303301886708671
3360.38,-0.007417675212180671
3356.38,-0.0059895082643917925
3352.39,-0.0015559914327080895
